"","fullname","basename","qa_date","sampleID","filterID","sampletype","fieldworkerID","HHID","loggerID","samplerate_minutes","sampling_duration","night_hrs_bl","max_1hr_avg","Daily_avg","Daily_sd","max_1hr_avg_flag","Daily_avg_flag","Daily_stdev_flag","elevated_night_flag","nonresponsive_flag","sample_duration_flag","bl_flag","flag_total","flags"
"41","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-09-25_KE169-KE008-K_LAS1425","2019-09-25_KE169-KE008-K_LAS1425",2019-10-20,"KE169-KE008-K",NA,"K",8,169,"LAS1425",0.000277777777777778,1.85833333333333,0,8.58333333333333,0.610758311542772,2.14352452037346,0,0,0,0,0,0,0,0,""
"42","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-09-25_KE169-KE008-K_LAS1425","2019-09-25_KE169-KE008-K_LAS1425",2019-10-20,"KE169-KE008-K",NA,"K",8,169,"LAS1425",0.000277777777777778,1.85833333333333,0,8.58333333333333,0.610758311542772,2.14352452037346,0,0,0,0,0,0,0,0,""
"43","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-10-02_KE238-KE006-C_LAS1496","2019-10-02_KE238-KE006-C_LAS1496",2019-10-20,"KE238-KE006-C",NA,"C",6,238,"LAS1496",0.000277777777777778,1.37708333333333,0,20.6,4.76890120967742,8.40099984457932,0,0,1,0,0,0,0,1,"Daily_stdev"
"44","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-10-02_KE238-KE06-K_LAS1402","2019-10-02_KE238-KE06-K_LAS1402",2019-10-20,"KE238-KE06-K",NA,"K",6,238,"LAS1402",0.000277777777777778,1.375,0,48.5666666666667,8.10196870267542,20.1256645830673,0,1,1,0,0,0,0,2,"Daily_avg, Daily_stdev"
"45","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-10-09_KE157-KE006-C_LAS1420","2019-10-09_KE157-KE006-C_LAS1420",2019-10-20,"KE157-KE006-C",NA,"C",6,157,"LAS1420",0.000277777777777778,1.31805555555556,3,16.4916666666667,3.50552922590837,12.116317884774,0,0,1,0,0,0,0,1,"Daily_stdev"
"46","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-10-16_KE025-KE005-C_LAS1479","2019-10-16_KE025-KE005-C_LAS1479",2019-10-20,"KE025-KE005-C",NA,"C",5,25,"LAS1479",0.000277777777777778,1.37013888888889,2,15.0083333333333,3.62943262411348,5.00152941457056,0,0,1,0,0,0,0,1,"Daily_stdev"
"47","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-10-16_KE025-KE005-K_LAS1496","2019-10-16_KE025-KE005-K_LAS1496",2019-10-20,"KE025-KE005-K",NA,"K",5,25,"LAS1496",0.000277777777777778,2.38888888888889,0,78.9416666666667,12.4055507120023,21.9706020811571,0,1,1,0,0,0,0,2,"Daily_avg, Daily_stdev"
"48","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-10-16_KE158-KE002-C_LAS1494","2019-10-16_KE158-KE002-C_LAS1494",2019-10-20,"KE158-KE002-C",NA,"C",2,158,"LAS1494",0.000277777777777778,2.37430555555556,0,125.133333333333,4.90146198830409,23.9664127895202,1,0,1,1,0,0,0,3,"max_1hr_avg, Daily_stdev, elevated_night"
"49","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-10-16_KE158-KE002-K_LAS1420","2019-10-16_KE158-KE002-K_LAS1420",2019-10-20,"KE158-KE002-K",NA,"K",2,158,"LAS1420",0.000277777777777778,1.34791666666667,9.48,188.833333333333,34.6410916580844,82.1892500184257,1,1,1,1,0,0,1,5,"max_1hr_avg, Daily_avg, Daily_stdev, elevated_night, bl"
"50","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-10-17_KE026-KE010-C_LAS1408","2019-10-17_KE026-KE010-C_LAS1408",2019-10-20,"KE026-KE010-C",NA,"C",10,26,"LAS1408",0.000277777777777778,1.36041666666667,0,59.8416666666667,8.42066326530612,18.4744821200973,0,1,1,0,0,0,0,2,"Daily_avg, Daily_stdev"
"51","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-10-17_KE026-KE010-K_LAS1460","2019-10-17_KE026-KE010-K_LAS1460",2019-10-20,"KE026-KE010-K",NA,"K",10,26,"LAS1460",0.000277777777777778,1.35972222222222,0,74.85,13.781010719755,27.4861099065154,0,1,1,0,0,0,0,2,"Daily_avg, Daily_stdev"
"52","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-10-17_KE199-K3008-K_LAS1416","2019-10-17_KE199-K3008-K_LAS1416",2019-10-20,"KE199-K3008-K",NA,"K",3008,199,"LAS1416",0.000277777777777778,1.36666666666667,0,185.9,40.9504824784154,57.0963581753782,1,1,1,0,0,0,0,3,"max_1hr_avg, Daily_avg, Daily_stdev"
"53","/Users/ricardopiedrahita/Dropbox/CA(Kenya)/CleanAirAfrica/LASCARFiles/2019-100-17_KE199-KE008-C_LAS1404","2019-100-17_KE199-KE008-C_LAS1404",2019-10-20,"KE199-KE008-C",NA,"C",8,199,"LAS1404",0.000277777777777778,1.36527777777778,0,12.7916666666667,1.44102694458566,5.01803254507018,0,0,1,0,0,0,0,1,"Daily_stdev"
