"","qa_date","fullname","basename","sampleID","filterID","sampletype","fieldworkerID","HHID","datestart","datetime_start","loggerID","shutdown_reason","dutycycle","AverageVolumetricFlowRate","RunTimeHrs","software_vers","filterID_upas","app_version","gps_lat_med","gps_lon_med","flow_mean","flow_sd","flow_min","flow_max","percent_flow_deviation","flow_flag","inletp_flag","temp_flag","rh_flag","shutdown_flag","filename_flag","flag_total","smry","analysis"
"25",2019-12-05,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-10-29_KE148-KE005-E_PS0962_385","2019-10-29_KE148-KE005-E_PS0962_385","KE148-KE005-E","385","E",5,148,2019-10-29,2019-10-29 12:52:30,"PS0962",0,100,1.002,1.175,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC","KE148-KE05-E___","A2.1.9",0,0,1.002,0.01,0.978,1.076,0,0,0,0,0,1,0,1,TRUE,TRUE
"26",2019-12-05,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-10-29_KE162-KE001-E_PS0963_384","2019-10-29_KE162-KE001-E_PS0963_384","KE162-KE001-E","384","E",1,162,2019-10-29,2019-10-29 12:36:00,"PS0963",1,100,1.006,1,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC","KE162-KE001-E__","A2.1.9",0,0,1.006,0.008,0.997,1.053,0,0,0,0,0,0,0,0,TRUE,TRUE
"27",2019-12-05,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-10-30_KE048-KE004-E_PS0964_352","2019-10-30_KE048-KE004-E_PS0964_352","KE048-KE004-E","352","E",4,48,2019-10-30,2019-10-30 13:21:30,"PS0964",1,100,1.004,1.119,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC","KE048-KE004-E__","A2.1.9",0,0,1.004,0.008,0.947,1.023,0,0,0,0,0,0,0,0,TRUE,TRUE
"28",2019-12-05,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-10-30_KE229-KE005-E_PS0962_355","2019-10-30_KE229-KE005-E_PS0962_355","KE229-KE005-E","355","E",5,229,2019-10-30,2019-10-30 13:58:00,"PS0962",1,100,1.005,0.512,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC","KE229-KE05-E___","A2.1.9",0,0,1.005,0.01,0.982,1.056,0,0,0,0,0,0,0,0,TRUE,TRUE
"29",2019-12-05,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-11-04_KE053-KE004-E_PS0962_372","2019-11-04_KE053-KE004-E_PS0962_372","KE053-KE004-E","372","E",4,53,2019-11-04,2019-11-04 13:24:00,"PS0962",1,100,1.003,1.403,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC","KE053-KE004-E__","A2.1.9",0,0,1.002,0.01,0.989,1.094,0,0,0,0,0,0,0,0,TRUE,TRUE
"30",2019-12-05,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-11-04_KE148-KE005-E_PS0963_368","2019-11-04_KE148-KE005-E_PS0963_368","KE148-KE005-E","368","E",5,148,2019-11-04,2019-11-04 12:53:00,"PS0963",1,100,1.004,1.371,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC","KE148-KE05-E___","A2.1.9",0,0,1.004,0.007,0.998,1.059,0,0,0,0,0,0,0,0,TRUE,TRUE
"31",2019-12-05,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-11-05_KE062-KE004-E_PS0962_367","2019-11-05_KE062-KE004-E_PS0962_367","KE062-KE004-E","367","E",4,62,2019-11-05,2019-11-05 14:41:00,"PS0962",1,100,1.003,0.456,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC","KE062-KE004-E__","A2.1.9",0,0,1.003,0.008,0.979,1.034,0,0,0,0,0,0,0,0,TRUE,TRUE
"32",2019-12-05,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-11-06_KE040-KE004-E_PS0962_342","2019-11-06_KE040-KE004-E_PS0962_342","KE040-KE004-E","342","E",4,40,2019-11-06,2019-11-06 14:02:30,"PS0962",1,100,1.009,0.588,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC","KE040-KE004-E__","A2.1.9",0.292365,35.318663,1.009,0.011,1.003,1.081,0,0,0,0,0,0,0,0,TRUE,TRUE
"33",2019-12-05,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-11-06_KE155-KE005-E_PS0963_387","2019-11-06_KE155-KE005-E_PS0963_387","KE155-KE005-E","387","E",5,155,2019-11-06,2019-11-06 13:09:30,"PS0963",1,100,1.008,0.414,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC","KE155-KE05-E___","A2.1.9",0,0,1.008,0.016,0.988,1.083,0,0,0,0,0,0,0,0,TRUE,TRUE
"34",2019-12-05,"/Users/ricardopiedrahita/Dropbox/CA(Kenya)/UNOPs/Datafromtheteam/UPAS/2019-11-07_KE033-KE004-E_PS0967_365","2019-11-07_KE033-KE004-E_PS0967_365","KE033-KE004-E","365","E",4,33,2019-11-07,2019-11-07 11:40:00,"PS0967",1,100,1,1.593,"UPAS_v2_0-rev0104-L152RE_20180702_mbed116.bin compiledJul  2 2018_18:00:38UTC","KE033-KE004-E__","A2.1.9",0.289397,35.3233985,1,0.008,0.972,1.05,0,0,0,0,0,0,0,0,TRUE,TRUE
